,scales,lacunarity
0,1,
1,2,189474673.1086222
2,3,111460434.80674185
3,4,74900452.32210575
4,5,293960366.99735737
5,6,
6,7,
7,8,395316921.276942
8,9,
9,10,37339280.49795727
10,11,3532732.1994735696
11,12,812852.9873222954
12,13,599780.6710046893
13,14,887239.1283971147
14,15,7351574.881407096
15,16,
16,17,
17,18,
18,19,3140060.090456901
19,20,958999.0199287868
20,21,833954.2535648507
21,22,2536785.787236745
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,27805310.357780814
60,62,424616.7907398987
61,63,266572.3840587233
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,
78,87,
79,89,
80,91,
81,93,
82,94,
83,96,
84,98,
85,100,
86,102,
87,104,
88,106,
89,108,
90,110,
91,112,
92,114,
93,116,
94,119,
95,121,
96,123,
97,126,
98,128,
